Name,Latitude,Longitude
Athabasca Healthcare Center,54.71724,-113.2540559
Banff Mineral Springs Hospital,51.1790455,-115.5762576
Barrhead Healthcare Centre,54.1189739,-114.4000054
Bassano Health Centre,50.7897667,-112.4614377
Beaverlodge Regional Hospital,51.074407,-114.148473
Oilfields General Hospital,50.6781016,-114.235151
Crowsnest Pass Hospital,49.6162753,-114.458498
Bonnyville Health Centre,54.2637281,-110.7392959
Bow Island Health Centre,49.865624,-111.378438
Boyle Healthcare Centre,54.5883358,-112.8014498
Brooks Health Centre,50.5684258,-111.8895767
Alberta Children's Hospital (ACH),51.0743516,-114.1479442
East Calgary Health Centre (ECHC),51.0449223,-113.9668105
Foothills Medical Centre (FMC),51.064491,-114.134061
Peter Lougheed Centre (PLC),51.0789832,-113.9839451
Richmond Road Diagnostic & Treatment Centre (RRDTC),51.0366092,-114.109674
Rockyview General Hospital (RGH),50.9903099,-114.0974163
Sheldon M. Chumir Health Centre (SMCHC),51.0412428,-114.0721692
South Calgary Health Centre (SCHC),50.9025655,-114.0586109
South Health Campus (SHC),50.8819537,-113.9518929
Tom Baker Cancer Centre (TBCC),51.0630891,-114.1335698
St. Mary's Hospital,43.4378249,-80.5035548
Canmore General Hospital,51.092305,-115.351595
Cardston Hospital,49.201865,-113.3057959
Our Lady of the Rosary Hospital,52.223512,-111.9074116
Claresholm General Hospital,50.0188664,-113.5827595
Cochrane Community Health Centre,51.1846783,-114.4738775
Cold Lake Healthcare Centre,54.4682368,-110.1965777
Consort Health Centre,52.0098603,-110.7820156
Coronation Hospital and Care Centre,52.0962638,-111.459203
Daysland Health Centre,52.868821,-112.272956
Devon General Hospital,53.3515216,-113.7310094
Drayton Valley Hospital and Care Centre,53.211841,-114.969193
Drumheller Health Centre,51.4698073,-112.7259343
Alberta Hospital Edmonton,53.6372541,-113.3736936
Cross Cancer Institute,53.5182625,-113.5310786
Edmonton Clinic,53.5189515,-113.5276209
Glenrose Rehabilitation Hospital,53.560136,-113.496168
Grey Nuns Community Hospital & Health Centre,53.461899,-113.429664
Leduc Community Hospital & Health Centre,53.2548182,-113.5454391
Misericordia Community Hospital,53.520874,-113.6118775
Royal Alexandra Hospital,53.5568536,-113.4967364
St Joseph's Auxiliary Hospital,53.4595342,-113.506051
Stony Plain Municipal Hospital,53.537459,-113.9767078
University of Alberta Hospital (Stollery Children's Hospital),53.5203085,-113.5231019
Edson & District Healthcare Centre,41.721148,-70.952887
Elk Point Healthcare Centre,53.8977368,-110.9065832
Fort Macleod Hospital,49.7264265,-113.3938077
Fort Saskatchewan Community Hospital,53.691895,-113.210822
Queen Elizabeth II Hospital,55.175292,-118.7865681
Grande Prairie Regional Hospital (2019),55.1807732,-118.8245757
Hanna Health Centre,51.650247,-111.9280003
Hardisty Health Centre,52.6691528,-111.307609
High Prairie Health Complex,55.431481,-116.4549261
High River General Hospital,50.5755832,-113.8792152
Hinton Healthcare Centre,53.398173,-117.584756
Innisfail Health Centre,52.019015,-113.9514399
